2437	1	a	An excellent game that is, in my opinion, the best Total Wat game so far. The game handled the transition from the Medieval period well, incorporating the shift towards democracy, parliaments, better technology, gunpowder weapons and the New World very well.
1785	1	a	Great strategy game. love it.
4078	1	a	I loved doing Linebattles online, and singleplayer.  Until my computer took an arrow... to the computer.
103	1	a	Definitely worth buying.
2276	0	a	â¥â¥â¥â¥ this game .... i CANNOT reccomend this game. My admiral dies at the beginning of the battle as he drops through the ship. Battle only starts for 2 second and 300/300 person ship becomes 298/300 ... people just randomly drown at start of naval battles. This game sucks and is the main reason i will never preorder a total war garbage from this company. SEGA oR ca ... I can however only reccomend this game if you mod it. I got a mod called 'DarthMod '... it makes this game look like the trailers or a movie. This game as it is ... is garbage, physics is garbage, AI is garbage, sound efffects and music is garbage. It NEEDS this MOD to be even worthy of playing.
91	1	a	Super-fun 1-player beat-em-up / tower-defence game.
4642	1	a	One of the nicest indie game I've ever played. You destroy ship to get XP and ressources to buy bigger, better ships to be able to destroy more ships. Each planetary system has 2 factions, and you can choose one faction or the other in each system. Later in the game, you can destroy some zombie ships, and it gives a little more challenge to the game. There is even bounty hunters that are not part of any factions and that can hunt you down if the bounty on your head is big enough. There is one big problem in this game : there is a time when you need to grind a lot. I've played 24 hours and I still haven't finished the game because I need to grind the XP and the ressources to go further in the game. It's truly a good game and I had a lot of fun playing it but it takes a lot of time to finish.
627	1	a	Orky Orky times! = Fun times!
4967	1	a	It's a pretty little top-down space shoot-em-up in a randomly generated size-adjustable galaxy (so there's replay value). I like to dive in now and then and advance a few levels. One unusual item is a list of 'coming soon' features on the menu screen. The 'and bounty hunters' bit is definitely new since I last played, and I seem to see a few new ship blueprints, so obviously they are hard at work adding DLC. Can't go far wrong with this one if you like old style space shooters.
5147	1	a	Awwwwwwwwwwwww yeah. This game is awesome.
2987	1	a	Defiently one of the top Total War games.
1414	1	a	With the Release of Empire, real modding has been disallowed and locked outside of tweaking a few stats. However, the game itself is very playable if it becomes a bit monotonous as you move outward building your Empire. The Battle AI could do with reading the Art of War, but it is acceptable and formations do mostly hold up though there is little real opportunity for real battle tactics against the mob the AI throws at you as you can form, sit, wait, and destroy the enemy as they attack too easily as they use no guile or formation past the opening moves.
1001	1	a	Strategy and killing orcs, what more can you ask for?
5001	1	a	Hey guys. Check out Space Pirates and Zombies. I got it cheap a long time ago and dismissed it originally. The game is actually a blast. Think Asterioids on steroids mixed with Space Run, and a hint of FTL.
4574	1	a	I'd forgotten how good this is. It changed since the first time I played, I think...  Nothing earth-shattering, but if you enjoy the game after the first few solar systems, you'll probably enjoy the rest. And there's a PLOTS too. And you can skip the 'voice acting.' :P
3175	1	a	simply the best :)
796	1	a	Orcs Must Die! is a beautiful game. That's not just the graphics, though the art is highly stylized and very fitting of the game's comical atmosphere. OMD takes the addictive mechanics of the tower defense genre and the fast-paced gameplay of an action RPG and creates a hybrid that works far better then would be expected. At first it just gives you a new tower every level, but then you get magic gauntlets and paladins and skill tree and meta-upgrades; there's a tremendous amount of content in OMD, and a tremendous number of orcs waiting to break through your defenses and charge your portals. If only you had aimed that fireball a little more accurately or placed those tar traps a bit further apart...  Oh well, 'Retry Level.'
1326	1	a	'Your general is dead' k rip thx  Oh yes, oh yes. Now for my pros and cons list Pros: Lots of Units Lots of Countries Lots of Annexing Lots of Capturing Lots of British Lots of India Lots of Trade Lots of Negotiating Lots of Generals Lots of Boats Lots of Horses Lots of cannons  Cons: A lot of the countries, when trying to negotiate with them, are either big jerks or â¥â¥â¥â¥ing stupid. Ex:  Me Offers: All Tech 5000 Dollars 4 Regions Indefinite Military Access Access to Trade Routes Demands: Military Access: 5 turns  NPCs: No 
3493	1	a	This game is great! Many happy hours conquering the world!
1314	1	a	After 100+ hours I have to say for anyone wanting a good strategy game it's well worth * what are they listing it for now * the price.  Pro's -Combat requires some strategy you dont just auto win. -Long campaign   Con's  My navy ships never really worked the way I wanted
2812	1	a	I was going to beat this freebie for the weekend game in time for 4th of July, but after 27 or 46 hours, or however long straight I played this, it froze on me.  Oh well. It would of been a hell of an easier ride if I knew then what I know now about the game. Especially in the American 4th act.  I recommend buying it, even though I won't.
3169	1	a	If you have been looking for a game that incorporates complete full scale wars, then Empire: Total War is your game. The graphics are great, the realism is amazing, and there are huge ammounts of soldiers dueling it out with mount and musket.
515	1	a	Kill some orcs
2759	1	a	Played as the British and destroyed/raided/blockaded every town and port in France.  10/10 would attack France again.
3019	1	a	low audio
